Chain Name,Customer Name,Address,City,State,Zip Code,Prod #,Description,Pack,Size,Cost,Units
NCG,MOSCOW FOOD CO-OP           ,121 E. 5TH ST.              ,MOSCOW            ,ID,83843,45453,SUPERFOOD POWDER,1,20 OZ,$97.14 ,6
NCG,SILVER CITY FOOD CO-OP      ,520 N BULLARD               ,SILVER CITY       ,NM,88061,76740,NUT SPICES BAR,12,2 OZ,$30.24 ,2
NCG,SNO-ISLE NATURAL FOOD CO-OP ,2804 GRAND AVE              ,EVERETT           ,WA,98201,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
NCG,SNO-ISLE NATURAL FOOD CO-OP ,2804 GRAND AVE              ,EVERETT           ,WA,98201,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
NCG,UKIAH CO-OP                 ,721 SOUTH STATE ST          ,UKIAH             ,CA,95482,76740,NUT SPICES BAR,12,2 OZ,$30.24 ,2
NCG,UKIAH CO-OP                 ,721 SOUTH STATE ST          ,UKIAH             ,CA,95482,80760,CHOC PRTN BAR,12,2 OZ,$30.24 ,2
OLIVERS MARKETS,OLIVERS MARKET              ,546 E. COTATI AVE           ,COTATI            ,CA,94931,45453,SUPERFOOD POWDER,1,20 OZ,$80.95 ,5
OLIVERS MARKETS,OLIVERS MARKET MONTECITO    ,560 MONTECITO CENTER        ,SANTA ROSA        ,CA,95409,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
OLIVERS MARKETS,OLIVERS MARKET STONY POINT  ,461 STONY POINT ROAD        ,SANTA ROSA        ,CA,95401,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
ORGANIC ROOTS,ORGANIC ROOTS INC,40458 WINCHESTER ROAD       ,TEMECULA          ,CA,92591,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
ORGANIC ROOTS,ORGANIC ROOTS INC           ,40458 WINCHESTER ROAD       ,TEMECULA          ,CA,92591,84475,BERRY PLANT YOGURT,6,6 OZ,$18.54 ,3
ORGANIC ROOTS,ORGANIC ROOTS INC           ,40458 WINCHESTER ROAD       ,TEMECULA          ,CA,92591,98474,VANILLA PLANT YOGURT,6,6 OZ,$18.54 ,3
PCC MARKETS,PCC #02 KIRKLAND,10718 NE 68TH               ,KIRKLAND          ,WA,98033,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
PCC MARKETS,PCC #05 VIEWRIDGE,6514 40TH NE                ,SEATTLE           ,WA,98115,45453,SUPERFOOD POWDER,1,20 OZ,$129.52 ,8
PCC MARKETS,PCC #09 GRNLK AURORA,7504 AURORA AVE. N.         ,SEATTLE           ,WA,98103,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
PCC MARKETS,PCC #10 ISSAQUAH,1810 12TH AVE NW            ,ISSAQUAH          ,WA,98027,45453,SUPERFOOD POWDER,1,20 OZ,$194.28 ,12
PCC MARKETS,PCC #11 FREMONT,600 NORTH 34TH STREET       ,SEATTLE           ,WA,98103,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
PCC MARKETS,PCC #12 REDMOND,11435 AVONDALE RD NE        ,REDMOND           ,WA,98052,45453,SUPERFOOD POWDER,1,20 OZ,$97.14 ,6
PCC MARKETS,PCC #13 EDMONDS,9803 EDMONDS WAY            ,EDMONDS           ,WA,98020,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
PCC MARKETS,PCC #14 GREENLAKE VLG,450 NE 71ST ST              ,SEATTLE           ,WA,98115,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
PCC MARKETS,PCC #15 COLUMBIA CTY,3610 S EDMUNDS ST           ,SEATTLE           ,WA,98118,45453,SUPERFOOD POWDER,1,20 OZ,$145.71 ,9
PCC MARKETS,PCC #17 BURIEN,15840 1ST AVE S             ,BURIEN            ,WA,98148,45453,SUPERFOOD POWDER,1,20 OZ,$97.14 ,6
PCC MARKETS,PCC BOTHELL ,22621 BOTHELL-EVERETT HWY   ,BOTHELL           ,WA,98021,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
PCC MARKETS,PCC MARKETS BALLARD,1451 NW 46TH ST             ,SEATTLE           ,WA,98107,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
PCC MARKETS,PCC MARKETS WS,2749 CALIFORNIA AVE         ,SEATTLE           ,WA,98116,45453,SUPERFOOD POWDER,1,20 OZ,$97.14 ,6
PHARMACA,PHARMACA LOS GATOS          ,54 N SANTA CRUZ AVE         ,LOS GATOS         ,CA,95030,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
RALEYS,BEL AIR #502                ,4320 ARDEN WAY              ,SACRAMENTO        ,CA,95864,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,BEL AIR #509                ,1039 SUNRISE AVE            ,ROSEVILLE         ,CA,95661,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
RALEYS,BEL AIR #511                ,4005 MANZANITA AVE          ,CARMICHAEL        ,CA,95608,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
RALEYS,BEL AIR #515                ,3510 PALMER DR              ,CAMERON PARK      ,CA,95682,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,BEL AIR #519                ,7901 WALERGA RD             ,ANTELOPE          ,CA,95843,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
RALEYS,BEL AIR #524                ,2760 E BIDWELL              ,FOLSOM            ,CA,95630,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
RALEYS,BEL AIR #524                ,2760 E BIDWELL              ,FOLSOM            ,CA,95630,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,NOB HILL FOODS #601         ,1945 N ST                   ,NEWMAN            ,CA,95360,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,NOB HILL FOODS #602         ,777 FIRST ST                ,GILROY            ,CA,95020,45453,SUPERFOOD POWDER,1,20 OZ,$113.33 ,7
RALEYS,NOB HILL FOODS #615         ,809 BAY AVE                 ,CAPITOLA          ,CA,95010,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
RALEYS,NOB HILL FOODS #620         ,222 MT HERMON RD            ,SCOTTS VALLEY     ,CA,95066,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,NOB HILL FOODS #621         ,520 CENTER AVE              ,MARTINEZ          ,CA,94553,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,RALEYS #102                 ,2895 N MCCARRAN BLVD        ,RENO              ,NV,89431,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
RALEYS,RALEYS #110                 ,2389 WINGFIELD HILLS RD     ,SPANISH SPRINGS   ,NV,89436,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
RALEYS,RALEYS #113                 ,930 TAHOE BLVD              ,INCLINE VILLAGE   ,NV,89451,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,RALEYS #127                 ,1040 EMERALD BAY RD         ,SOUTH LAKE TAHOE  ,CA,96150,45453,SUPERFOOD POWDER,1,20 OZ,$145.71 ,9
RALEYS,RALEYS #213                 ,692 FREEMAN LANE            ,GRASS VALLEY      ,CA,95949,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,RALEYS #228                 ,4051 WOODCREEK OAKS BLVD    ,ROSEVILLE         ,CA,95747,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
RALEYS,RALEYS #233                 ,725 S MAIN ST               ,RED BLUFF         ,CA,96080,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
RALEYS,RALEYS #236                 ,2325 MYERS  ST              ,OROVILLE          ,CA,95966,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
RALEYS,RALEYS #242                 ,700 W ONSTOTT FRONTAGE RD   ,YUBA CITY         ,CA,95991,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
RALEYS,RALEYS #248                 ,201 LAKE BLVD               ,REDDING           ,CA,96003,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,RALEYS #308                 ,3430 TULLY RD STE 40        ,MODESTO           ,CA,95350,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,RALEYS #319                 ,217 SOSCOL AVE              ,NAPA              ,CA,94559,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
RALEYS,RALEYS #337                 ,100 RALEYS TOWN CENTER      ,ROHNERT PARK      ,CA,94928,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,RALEYS #410                 ,25025 BLUE RAVINE RD        ,FOLSOM            ,CA,95630,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
RALEYS,RALEYS #417                 ,4840 SAN JUAN AVE           ,FAIR OAKS         ,CA,95628,45453,SUPERFOOD POWDER,1,20 OZ,$80.95 ,5
RALEYS,RALEYS #435                 ,2075 FAIR OAKS BLVD STE 130 ,SACRAMENTO        ,CA,95825,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALEYS,RALEYS #443                 ,4900 ELK GROVE BLVD         ,ELK GROVE         ,CA,95758,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
RALPHS THRIFTWAY,RALPHS THRIFTWAY EAST 4TH   ,1908 E 4TH AVE              ,OLYMPIA           ,WA,98506,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
RALPHS THRIFTWAY,RALPHS THRIFTWAY EAST 4TH   ,1908 E 4TH AVE              ,OLYMPIA           ,WA,98506,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 002,9301 E SHEA BLVD STE.#132   ,SCOTTSDALE        ,AZ,85260,45453,SUPERFOOD POWDER,1,20 OZ,$113.33 ,7
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 002,9301 E SHEA BLVD STE.#132   ,SCOTTSDALE        ,AZ,85260,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 007,8040 N 19TH AVE             ,PHOENIX           ,AZ,85021,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 007,8040 N 19TH AVE             ,PHOENIX           ,AZ,85021,35454,PLAIN PLANT YOGURT,6,6 OZ,$6.18 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 011,7665 NORTH ORACLE           ,TUCSON            ,AZ,85737,45453,SUPERFOOD POWDER,1,20 OZ,$97.14 ,6
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 011,7665 NORTH ORACLE           ,TUCSON            ,AZ,85737,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$101.88 ,3
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 012,13759 W BELL RD             ,SURPRISE          ,AZ,85374,45453,SUPERFOOD POWDER,1,20 OZ,$129.52 ,8
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 012,13759 W BELL RD             ,SURPRISE          ,AZ,85374,35454,PLAIN PLANT YOGURT,6,6 OZ,$6.18 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 013,1813 N DYSART               ,AVONDALE          ,AZ,85323,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 013,1813 N DYSART               ,AVONDALE          ,AZ,85323,35454,PLAIN PLANT YOGURT,6,6 OZ,$12.36 ,2
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 021,3860 WEST RIVER RD          ,TUCSON            ,AZ,85741,35454,PLAIN PLANT YOGURT,6,6 OZ,$18.54 ,3
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 021,3860 WEST RIVER RD          ,TUCSON            ,AZ,85741,35454,PLAIN PLANT YOGURT,6,6 OZ,$6.18 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 024,4645 EAST SPEEDWAY BLVD     ,TUCSON            ,AZ,85712,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 024,4645 EAST SPEEDWAY BLVD     ,TUCSON            ,AZ,85712,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 034,2060 E BASELINE RD          ,MESA              ,AZ,85204,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 035,1590 S 4TH ST               ,YUMA              ,AZ,85364,45453,SUPERFOOD POWDER,1,20 OZ,$48.57 ,3
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 039,8787 N SCOTTSDALE RD STE 124,SCOTTSDALE        ,AZ,85253,45453,SUPERFOOD POWDER,1,20 OZ,$97.14 ,6
SPROUTS FARMERS MARKET,SPROUTS FARMERS MKT 039,8787 N SCOTTSDALE RD STE 124,SCOTTSDALE        ,AZ,85253,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$271.68 ,8
